id,siren,name,acronym,kind,taxmodel,towns,start_date,end_date,end_reason,successors,ancestors,population
fr:epci:240100156@1999-01-01,240100156,Montrevel,,DISTRICT,4TX,fr:commune:01154@1942-01-01;fr:commune:01140@1942-01-01;fr:commune:01346@1942-01-01;fr:commune:01375@1942-01-01;fr:commune:01163@1942-01-01;fr:commune:01229@1942-01-01;fr:commune:01266@1955-01-29;fr:commune:01196@1942-01-01;fr:commune:01040@1942-01-01;fr:commune:01024@1942-01-01;fr:commune:01115@1942-01-01;fr:commune:01236@1942-01-01;fr:commune:01130@1942-01-01;fr:commune:01387@1942-01-01,1999-01-01,2016-12-31,removed,,,12611
fr:epci:240100172@1999-01-01,240100172,District Urbain d'Oyonnax,,DISTRICT,4TX,fr:commune:01171@1942-01-01;fr:commune:01014@1942-01-01;fr:commune:01237@1942-01-01;fr:commune:01031@1957-08-22;fr:commune:01181@1942-01-01;fr:commune:01283@1942-01-01,1999-01-01,2016-12-31,removed,,,34994
fr:epci:240100339@1999-01-01,240100339,Plaine de Bresse,,DISTRICT,4TX,fr:commune:01364@1942-01-01;fr:commune:01230@1942-01-01;fr:commune:01128@1942-01-01;fr:commune:01367@1942-01-01;fr:commune:01406@1942-01-01;fr:commune:01139@1942-01-01;fr:commune:01388@1942-01-01;fr:commune:01433@1942-01-01;fr:commune:01437@1942-01-01;fr:commune:01212@1942-01-01;fr:commune:01124@1942-01-01;fr:commune:01380@1942-01-01,1999-01-01,2016-12-31,removed,,,5061
fr:epci:240100347@1999-01-01,240100347,Rhone Et Gland,,DISTRICT,4TX,fr:commune:01340@1942-01-01;fr:commune:01110@1942-01-01;fr:commune:01182@1942-01-01;fr:commune:01193@1942-01-01;fr:commune:01058@1942-01-01;fr:commune:01338@1942-01-01,1999-01-01,2016-12-31,removed,,,1912
fr:epci:240100354@1999-01-01,240100354,Belley-bas Bugey,,DISTRICT,4TX,fr:commune:01456@1942-01-01;fr:commune:01268@1942-01-01;fr:commune:01162@1942-01-01;fr:commune:01006@1942-01-01;fr:commune:01234@1942-01-01;fr:commune:01116@1942-01-01;fr:commune:01015@1942-01-01;fr:commune:01294@1942-01-01;fr:commune:01310@1942-01-01;fr:commune:01061@1942-01-01;fr:commune:01227@1942-01-01;fr:commune:01454@1942-01-01;fr:commune:01302@1942-01-01;fr:commune:01009@1942-01-01;fr:commune:01341@1942-01-01;fr:commune:01271@1942-01-01;fr:commune:01098@1942-01-01;fr:commune:01034@1942-01-01;fr:commune:01133@1942-01-01;fr:commune:01358@1942-01-01;fr:commune:01117@1942-01-01;fr:commune:01239@1942-01-01;fr:commune:01286@1942-01-01,1999-01-01,2016-12-31,removed,,,15773
fr:epci:240100370@1999-01-01,240100370,District Rural du Valromey,,DISTRICT,4TX,fr:commune:01330@1942-01-01;fr:commune:01036@1974-11-01;fr:commune:01079@1956-10-19;fr:commune:01097@1942-01-01;fr:commune:01414@1942-01-01;fr:commune:01187@1942-01-01;fr:commune:01453@1942-01-01;fr:commune:01292@1942-01-01;fr:commune:01022@1942-01-01;fr:commune:01059@1942-01-01;fr:commune:01218@1942-01-01,1999-01-01,2016-12-31,removed,,,3592
fr:epci:240100396@1999-01-01,240100396,Vallée l'Albarine,,DISTRICT,4TX,fr:commune:01107@1942-01-01;fr:commune:01111@1942-01-01;fr:commune:01416@1942-01-01;fr:commune:01384@1956-10-19;fr:commune:01279@1942-01-01;fr:commune:01186@1942-01-01;fr:commune:01076@1942-01-01;fr:commune:01017@1942-01-01;fr:commune:01155@1942-01-01;fr:commune:01277@1942-01-01;fr:commune:01013@1942-01-01;fr:commune:01421@1942-01-01,1999-01-01,2016-12-31,removed,,,5019
fr:epci:240100412@1999-01-01,240100412,Rhone Chartreuse,,DISTRICT,4TX,fr:commune:01280@1942-01-01;fr:commune:01400@1942-01-01;fr:commune:01403@1955-03-31;fr:commune:01190@1942-01-01;fr:commune:01233@1942-01-01;fr:commune:01255@1942-01-01;fr:commune:01216@1942-01-01;fr:commune:01064@1942-01-01;fr:commune:01219@1942-01-01;fr:commune:01037@1942-01-01,1999-01-01,2016-12-31,removed,,,3662
fr:epci:240100438@1999-01-01,240100438,District du Colombier,,DISTRICT,4TX,fr:commune:01039@1942-01-01;fr:commune:01208@1942-01-01;fr:commune:01073@1942-01-01;fr:commune:01138@1942-01-01,1999-01-01,2016-12-31,removed,,,3994
fr:epci:240100578@1999-01-01,240100578,Plateau Hauteville,,DISTRICT,4TX,fr:commune:01417@1942-01-01;fr:commune:01311@1942-01-01;fr:commune:01080@1942-01-01;fr:commune:01185@1942-08-01;fr:commune:01119@1942-01-01;fr:commune:01121@1942-01-01;fr:commune:01012@1942-01-01;fr:commune:01122@1942-01-01,1999-01-01,2017-12-31,inner;renamed;kind;taxmodel,fr:epci:240100578@2017-01-01,,5949
fr:epci:240100586@1999-01-01,240100586,Valsemine,,DISTRICT,4TX,fr:commune:01257@1942-01-01;fr:commune:01081@1942-01-01;fr:commune:01174@1942-01-01;fr:commune:01357@1942-01-01,1999-01-01,2005-12-31,removed,,,1486
fr:epci:240100594@1999-01-01,240100594,Val Saône-chalaronne,,CC,4TX,fr:commune:01188@1942-01-01;fr:commune:01348@1942-01-01;fr:commune:01295@1947-05-21;fr:commune:01167@1942-01-01;fr:commune:01420@1942-01-01;fr:commune:01252@1942-01-01,1999-01-01,2016-12-31,removed,,,5681
fr:epci:240100602@1999-01-01,240100602,Saône Vallée,,CC,4TX,fr:commune:01353@1942-01-01;fr:commune:01427@1942-01-01;fr:commune:01322@1942-01-01;fr:commune:01347@1942-01-01;fr:commune:01250@1942-01-01;fr:commune:01339@1942-01-01;fr:commune:01423@1942-01-01,1999-01-01,2016-12-31,removed,,,16872
fr:epci:240100610@1999-01-01,240100610,Montluel,,CC,4TX,fr:commune:01142@1942-01-01;fr:commune:01297@1942-01-01;fr:commune:01032@1942-01-01;fr:commune:01062@1942-01-01;fr:commune:01027@1942-01-01;fr:commune:01262@1942-01-01;fr:commune:01276@1942-01-01;fr:commune:01049@1942-01-01;fr:commune:01342@1942-01-01,1999-01-01,2017-12-31,renamed;taxmodel,fr:epci:240100610@2017-01-01,,21306
fr:epci:240100628@1999-01-01,240100628,Communauté de Communes du Bassin de Vie de Bourg,,CC,4TX,fr:commune:01259@1942-01-01;fr:commune:01211@1942-01-01;fr:commune:01385@1942-01-01;fr:commune:01405@1942-01-01;fr:commune:01065@1942-01-01;fr:commune:01264@1942-01-01;fr:commune:01053@1955-03-31;fr:commune:01289@1942-01-01;fr:commune:01336@1942-01-01;fr:commune:01429@1942-01-01;fr:commune:01195@1942-01-01;fr:commune:01451@1942-01-01;fr:commune:01344@1942-01-01;fr:commune:01301@1942-01-01,1999-01-01,2016-12-31,removed,,,69603
fr:epci:240100636@1999-01-01,240100636,Communauté de Communes de Treffort en Revermont,,CC,4TX,fr:commune:01408@1994-06-13;fr:commune:01309@1942-01-01;fr:commune:01426@1972-12-01;fr:commune:01241@1942-01-01;fr:commune:01150@1942-01-01;fr:commune:01125@1942-01-01;fr:commune:01350@1942-01-01;fr:commune:01095@1942-01-01;fr:commune:01312@1942-01-01;fr:commune:01172@1942-01-01;fr:commune:01127@1942-01-01,1999-01-01,2016-12-31,removed,,,7767
fr:epci:240100644@1999-01-01,240100644,Chalaronne Centre,,CC,4TX,fr:commune:01335@1942-01-01;fr:commune:01328@1942-01-01;fr:commune:01272@1942-01-01;fr:commune:01001@1942-01-01;fr:commune:01356@1942-01-01;fr:commune:01046@1942-01-01;fr:commune:01393@1942-01-01;fr:commune:01093@1942-01-01;fr:commune:01146@1942-01-01;fr:commune:01319@1942-01-01;fr:commune:01412@1942-01-01;fr:commune:01028@1942-01-01;fr:commune:01113@1942-01-01,1999-01-01,2016-12-31,removed,,,10630
fr:epci:240100651@1999-01-01,240100651,Communauté de Communes du Canton de Coligny,,CC,4TX,fr:commune:01232@1942-01-01;fr:commune:01432@1942-01-01;fr:commune:01445@1942-01-01;fr:commune:01147@1942-01-01;fr:commune:01391@1942-01-01;fr:commune:01038@1942-01-01;fr:commune:01029@1942-01-01;fr:commune:01108@1942-01-01;fr:commune:01296@1942-01-01,1999-01-01,2016-12-31,removed,,,6113
fr:epci:240100669@1999-01-01,240100669,Communauté de Communes des Bords de Veyle,,CC,4TX,fr:commune:01457@1942-01-01;fr:commune:01096@1942-01-01;fr:commune:01246@1942-01-01;fr:commune:01084@1942-01-01;fr:commune:01368@1942-01-01,1999-01-01,2016-12-31,removed,,,6291
fr:epci:240100677@1999-01-01,240100677,Communauté de Communes du Canton de Chalamont,,CC,4TX,fr:commune:01074@1942-01-01;fr:commune:01092@1942-01-01;fr:commune:01449@1991-03-21;fr:commune:01381@1942-01-01;fr:commune:01299@1942-01-01;fr:commune:01434@1942-01-01;fr:commune:01090@1942-01-01;fr:commune:01129@1942-01-01,1999-01-01,2016-12-31,removed,,,5066
fr:epci:240100685@1999-01-01,240100685,Communauté de Communes du Canton de Pont de Vau,,CC,4TX,fr:commune:01016@1942-01-01;fr:commune:01402@1942-01-01;fr:commune:01305@1942-01-01;fr:commune:01050@1942-01-01;fr:commune:01323@1942-01-01;fr:commune:01175@1942-01-01;fr:commune:01337@1942-01-01;fr:commune:01094@1942-01-01;fr:commune:01284@1942-01-01;fr:commune:01102@1942-01-01;fr:commune:01352@1942-01-01;fr:commune:01057@1942-01-01,1999-01-01,2016-12-31,removed,,,7761
fr:epci:240100693@1999-01-01,240100693,Communauté de Communes de la Valliere,,CC,4TX,fr:commune:01321@1942-01-01;fr:commune:01369@1942-01-01;fr:commune:01072@1942-01-01;fr:commune:01254@1942-01-01,1999-01-01,2016-12-31,removed,,,5218
fr:epci:240100701@1999-01-01,240100701,Communauté de Communes des Monts Berthiand,,CC,4TX,fr:commune:01392@1942-01-01;fr:commune:01404@1942-01-01;fr:commune:01267@1973-03-01;fr:commune:01051@1942-01-01;fr:commune:01240@1973-01-01;fr:commune:01410@1942-01-01;fr:commune:01293@1942-01-01;fr:commune:01067@1942-01-01;fr:commune:01192@1942-01-01;fr:commune:01214@1942-01-01,1999-01-01,2016-12-31,removed,,,4597
fr:epci:240100727@1999-01-01,240100727,District de Montmerle Trois Rivier,,DISTRICT,4TX,fr:commune:01169@1942-01-01;fr:commune:01258@1942-01-01;fr:commune:01225@1942-01-01;fr:commune:01183@1942-01-01;fr:commune:01165@1998-12-09;fr:commune:01263@1962-05-16,1999-01-01,2016-12-31,removed,,,6549
fr:epci:240100735@1999-01-01,240100735,Porte Ouest de la Dombes,,DISTRICT,4TX,fr:commune:01166@1942-01-01;fr:commune:01194@1942-01-01;fr:commune:01398@1942-01-01;fr:commune:01005@1942-01-01;fr:commune:01157@1942-01-01;fr:commune:01030@1942-01-01;fr:commune:01021@1956-10-19,1999-01-01,2016-12-31,removed,,,13259
fr:epci:240100743@1999-01-01,240100743,Bugey Arene Furans,,DISTRICT,4TX,fr:commune:01141@1942-01-01;fr:commune:01329@1942-01-01;fr:commune:01100@1942-01-01;fr:commune:01066@1942-01-01;fr:commune:01316@1942-01-01;fr:commune:01372@1942-01-01;fr:commune:01452@1942-01-01;fr:commune:01019@1942-01-01,1999-01-01,2016-12-31,removed,,,2075
fr:epci:240100750@1999-01-01,240100750,Pays Gex,,CC,4TX,fr:commune:01435@1942-01-01;fr:commune:01401@1942-01-01;fr:commune:01180@1942-01-01;fr:commune:01308@1942-01-01;fr:commune:01354@1942-01-01;fr:commune:01247@1942-01-01;fr:commune:01135@1942-01-01;fr:commune:01209@1942-01-01;fr:commune:01104@1962-08-27;fr:commune:01173@1942-01-01;fr:commune:01399@1942-01-01;fr:commune:01281@1942-01-01;fr:commune:01109@1942-01-01;fr:commune:01103@1942-01-01;fr:commune:01419@1942-01-01;fr:commune:01078@1942-01-01;fr:commune:01153@1942-01-01;fr:commune:01360@1942-01-01;fr:commune:01210@1942-01-01;fr:commune:01313@1975-01-01;fr:commune:01397@1942-01-01;fr:commune:01158@1942-01-01;fr:commune:01160@1942-01-01;fr:commune:01143@1942-01-01;fr:commune:01288@1942-01-01,1999-01-01,2017-12-31,inner;renamed;taxmodel,fr:epci:240100750@2017-01-01,,56156
fr:epci:240100784@1999-01-01,240100784,Communauté de Communes du Pays du Cerdon,,CC,4TX,fr:commune:01303@1942-01-01;fr:commune:01056@1942-01-01;fr:commune:01077@1942-01-01;fr:commune:01363@1942-01-01;fr:commune:01200@1942-01-01;fr:commune:01199@1942-01-01;fr:commune:01242@1942-01-01;fr:commune:01331@1942-01-01;fr:commune:01068@1942-01-01,1999-01-01,2016-12-31,removed,,,6244
fr:epci:240100800@1999-01-01,240100800,Communauté de Communes de Miribel Et du Plateau,,CC,4TX,fr:commune:01275@1942-01-01;fr:commune:01043@1942-01-01;fr:commune:01424@1942-01-01;fr:commune:01418@1942-01-01;fr:commune:01249@1942-01-01;fr:commune:01376@1942-01-01,1999-01-01,2017-12-31,renamed;taxmodel,fr:epci:240100800@2017-01-01,,20892
fr:epci:240100818@1999-01-01,240100818,Communauté de Communes du Pays de Bage,,CC,4TX,fr:commune:01320@1942-01-01;fr:commune:01144@1942-01-01;fr:commune:01025@1942-01-01;fr:commune:01023@1942-01-01;fr:commune:01026@1942-01-01;fr:commune:01159@1942-01-01;fr:commune:01231@1942-01-01;fr:commune:01439@1942-01-01;fr:commune:01332@1942-01-01,1999-01-01,2016-12-31,removed,,,12007
fr:epci:240100826@1999-01-01,240100826,Canton de Pont de Veyle,,CC,TPU,fr:commune:01334@1942-01-01;fr:commune:01306@1942-01-01;fr:commune:01343@1942-01-01;fr:commune:01291@1942-01-01;fr:commune:01355@1942-01-01;fr:commune:01123@1942-01-01;fr:commune:01365@1942-01-01;fr:commune:01203@1942-01-01;fr:commune:01179@1942-01-01;fr:commune:01134@1942-01-01;fr:commune:01136@1942-01-01;fr:commune:01042@1942-01-01,1999-01-01,2016-12-31,removed,,,11412
fr:epci:240200261@1999-01-01,240200261,District de St Quentin,,DISTRICT,4TX,fr:commune:02303@1942-01-01;fr:commune:02214@1942-01-01;fr:commune:02310@1942-01-01;fr:commune:02359@1942-01-01;fr:commune:02371@1942-01-01;fr:commune:02288@1942-01-01;fr:commune:02481@1942-01-01;fr:commune:02420@1942-01-01;fr:commune:02383@1942-01-01;fr:commune:02691@1942-01-01;fr:commune:02525@1942-01-01;fr:commune:02549@1942-01-01;fr:commune:02637@1942-01-01;fr:commune:02571@1942-01-01;fr:commune:02142@1942-01-01;fr:commune:02322@1942-01-01;fr:commune:02659@1942-01-01;fr:commune:02319@1942-01-01;fr:commune:02340@1942-01-01,1999-01-01,2016-12-31,removed,,,78137
fr:epci:240200279@1999-01-01,240200279,District de la Vallée de l'Oise,,DISTRICT,4TX,fr:commune:02149@1942-01-01;fr:commune:02636@1942-01-01;fr:commune:02123@1942-01-01;fr:commune:02066@1942-01-01;fr:commune:02813@1942-01-01;fr:commune:02124@1965-02-25;fr:commune:02287@1942-01-01;fr:commune:02075@1942-01-01;fr:commune:02532@1942-01-01;fr:commune:02170@1942-01-01;fr:commune:02717@1942-01-01;fr:commune:02721@1942-01-01;fr:commune:02648@1942-01-01;fr:commune:02387@1942-01-01;fr:commune:02483@1942-01-01,1999-01-01,2016-12-31,removed,,,9201
fr:epci:240200402@1999-01-01,240200402,Communauté de Communes du Val d'Origny,,CC,4TX,fr:commune:02741@1942-01-01;fr:commune:02575@1942-01-01;fr:commune:02503@1942-01-01;fr:commune:02552@1942-01-01,1999-01-01,2016-12-31,removed,,,3492
fr:epci:240200410@1999-01-01,240200410,Communauté de Communes du Laonnois,,CC,4TX,fr:commune:02821@1942-01-01;fr:commune:02150@1942-01-01;fr:commune:02191@1942-01-01;fr:commune:02561@1942-01-01;fr:commune:02508@1942-01-01;fr:commune:02151@1942-01-01;fr:commune:02282@1942-01-01;fr:commune:02294@1942-01-01;fr:commune:02309@1942-01-01;fr:commune:02024@1942-01-01;fr:commune:02238@1942-01-01;fr:commune:02765@1942-01-01;fr:commune:02196@1942-01-01;fr:commune:02824@1942-01-01;fr:commune:02407@1942-01-01;fr:commune:02037@1942-01-01;fr:commune:02621@1942-01-01;fr:commune:02429@1942-01-01;fr:commune:02205@1942-01-01;fr:commune:02501@1942-01-01;fr:commune:02471@1942-01-01;fr:commune:02028@1942-01-01;fr:commune:02158@1942-01-01;fr:commune:02791@1942-01-01;fr:commune:02489@1942-01-01;fr:commune:02088@1942-01-01;fr:commune:02573@1942-01-01;fr:commune:02587@1942-01-01;fr:commune:02497@1942-01-01;fr:commune:02080@1942-01-01;fr:commune:02128@1942-01-01;fr:commune:02132@1942-01-01;fr:commune:02697@1942-01-01;fr:commune:02157@1942-01-01;fr:commune:02153@1942-01-01;fr:commune:02408@1942-01-01,1999-01-01,2016-12-31,removed,,,43699
fr:epci:240200428@1999-01-01,240200428,Villes d'Oyse,,CC,4TX,fr:commune:02473@1942-01-01;fr:commune:02017@1942-01-01;fr:commune:02685@1942-01-01;fr:commune:02716@1942-01-01;fr:commune:02329@1942-01-01;fr:commune:02059@1942-01-01;fr:commune:02262@1942-01-01;fr:commune:02122@1942-01-01;fr:commune:02074@1942-01-01;fr:commune:02680@1942-01-01;fr:commune:02260@1942-01-01;fr:commune:02016@1942-01-01;fr:commune:02002@1942-01-01;fr:commune:02492@1942-01-01;fr:commune:02165@1942-01-01;fr:commune:02304@1942-01-01;fr:commune:02651@1942-01-01;fr:commune:02746@1942-01-01,1999-01-01,2016-12-31,removed,,,14607
